n*100batches, train_acc, time
1%, 100.00%, 1
2%, 200.00%, 2
3%, 300.00%, 3
4%, 90.00%, 0:00:00.020419
5%, 23.21%, 0:00:01.098843
6%, 17.87%, 0:00:01.633032
7%, 15.42%, 0:00:00.919916
8%, 14.17%, 0:00:01.414003
9%, 13.35%, 0:00:00.849099
10%, 4.00%, 0:00:00.009531
11%, 9.52%, 0:00:00.853013
12%, 9.30%, 0:00:00.845703
13%, 9.10%, 0:00:00.897008
14%, 9.08%, 0:00:00.904867
15%, 9.06%, 0:00:00.879342
16%, 2.00%, 0:00:00.012392
17%, 8.70%, 0:00:01.428215
18%, 8.59%, 0:00:00.922492
19%, 8.43%, 0:00:00.878060
20%, 8.44%, 0:00:00.862511
21%, 8.47%, 0:00:00.875543
22%, 2.00%, 0:00:00.021860
23%, 8.18%, 0:00:01.506489
24%, 8.18%, 0:00:00.852286
25%, 8.05%, 0:00:00.882360
26%, 8.09%, 0:00:00.996273
27%, 8.14%, 0:00:00.822105
28%, 2.00%, 0:00:00.020417
29%, 8.04%, 0:00:00.892995
30%, 8.06%, 0:00:00.857852
31%, 7.92%, 0:00:00.877858
32%, 7.96%, 0:00:00.864035
33%, 8.01%, 0:00:00.880231
34%, 3.00%, 0:00:00.009402
35%, 7.90%, 0:00:01.245330
36%, 7.97%, 0:00:01.151653
37%, 7.84%, 0:00:00.875379
38%, 7.88%, 0:00:00.800001
39%, 7.92%, 0:00:00.892828
40%, 3.00%, 0:00:00.012369
41%, 7.81%, 0:00:01.119109
42%, 7.87%, 0:00:01.239168
43%, 7.75%, 0:00:01.206225
44%, 7.79%, 0:00:01.148023
45%, 7.83%, 0:00:01.173170
46%, 2.00%, 0:00:00.013946
47%, 7.73%, 0:00:01.405852
48%, 7.79%, 0:00:01.182209
49%, 7.69%, 0:00:01.292129
50%, 7.72%, 0:00:01.155043
51%, 7.76%, 0:00:01.169246
52%, 2.00%, 0:00:00.014559
53%, 7.63%, 0:00:01.115197
54%, 7.72%, 0:00:01.116751
55%, 7.61%, 0:00:02.777240
56%, 7.65%, 0:00:02.758996
57%, 7.70%, 0:00:02.750347
58%, 2.00%, 0:00:00.014083
59%, 7.61%, 0:00:01.376033
60%, 7.67%, 0:00:01.218646
61%, 7.57%, 0:00:01.161950
62%, 7.61%, 0:00:01.182862
63%, 7.66%, 0:00:01.148665
64%, 5.00%, 0:00:00.003619
65%, 90.00%, 0:00:00.056626
66%, 22.94%, 0:00:09.641788
67%, 16.99%, 0:00:10.858680
68%, 14.18%, 0:00:09.876377
69%, 12.54%, 0:00:08.775485
70%, 11.49%, 0:00:09.391775
71%, 5.00%, 0:00:00.331363
72%, 5.67%, 0:00:09.687112
73%, 5.23%, 0:00:10.550718
74%, 4.99%, 0:00:10.727639
75%, 4.86%, 0:00:10.042756
76%, 4.84%, 0:00:10.057933
77%, 2.00%, 0:00:00.112060
78%, 3.90%, 0:00:11.424306
79%, 3.60%, 0:00:12.197310
80%, 3.49%, 0:00:10.368388
81%, 3.49%, 0:00:10.122493
82%, 3.51%, 0:00:10.063163
83%, 1.00%, 0:00:00.091940
84%, 3.04%, 0:00:12.886940
85%, 2.83%, 0:00:13.977388
86%, 2.65%, 0:00:10.810885
87%, 2.62%, 0:00:11.623668
88%, 2.63%, 0:00:11.201134
89%, 1.00%, 0:00:00.072683
90%, 2.39%, 0:00:08.383124
91%, 2.20%, 0:00:10.810614
92%, 2.03%, 0:00:09.235929
93%, 1.98%, 0:00:10.939792
94%, 1.99%, 0:00:21.653270
95%, 0.00%, 0:00:00.100440
96%, 1.71%, 0:00:09.604133
97%, 1.64%, 0:00:09.490808
98%, 1.53%, 0:00:10.515047
99%, 1.52%, 0:00:13.876253
100%, 1.55%, 0:00:13.852797
101%, 0.00%, 0:00:00.097526
102%, 1.39%, 0:00:10.449697
103%, 1.28%, 0:00:10.467928
104%, 1.21%, 0:00:10.110105
105%, 1.18%, 0:00:13.141508
106%, 1.20%, 0:00:13.421446
107%, 0.00%, 0:00:00.226368
108%, 1.18%, 0:00:11.562818
109%, 1.05%, 0:00:10.386333
110%, 1.03%, 0:00:11.795379
111%, 1.02%, 0:00:11.671759
112%, 1.04%, 0:00:13.179722
113%, 0.00%, 0:00:00.099916
114%, 0.89%, 0:00:12.723650
115%, 0.93%, 0:00:13.612236
116%, 0.91%, 0:00:11.929123
117%, 0.86%, 0:00:16.616640
118%, 0.87%, 0:00:11.395372
119%, 1.00%, 0:00:00.105738
120%, 1.04%, 0:00:11.713521
121%, 1.04%, 0:00:12.132907
122%, 0.97%, 0:00:10.812601
123%, 0.95%, 0:00:12.749721
124%, 0.91%, 0:00:11.874893
125%, 3.00%, 0:00:00.029882
