batches, train_acc, time
50, 85.00%, 9431 ms
100, 9999999900.00%, 9999999 ms
150, 22.08%, 59757 ms
200, 16.72%, 832818 ms
250, 14.82%, 769124 ms
300, 13.52%, 799841 ms
350, 12.81%, 569964 ms
400, 12.41%, 771344 ms
450, 12.00%, 691098 ms
500, 11.85%, 497420 ms
550, 11.70%, 151382 ms
600, 11.52%, 530702 ms
650, 11.37%, 509129 ms
700, 10.00%, 13678 ms
750, 9999999900.00%, 9999999 ms
800, 9.45%, 541288 ms
850, 9.71%, 538327 ms
900, 9.83%, 660310 ms
950, 9.53%, 555263 ms
1000, 9.43%, 787771 ms
1050, 9.63%, 888792 ms
1100, 9.58%, 482644 ms
1150, 9.59%, 510264 ms
1200, 9.58%, 466127 ms
1250, 9.62%, 524248 ms
1300, 9.68%, 473893 ms
1350, 8.00%, 14115 ms
1400, 9999999900.00%, 9999999 ms
1450, 10.08%, 558336 ms
1500, 9.87%, 563085 ms
1550, 10.01%, 515366 ms
1600, 9.98%, 669831 ms
1650, 9.90%, 524159 ms
1700, 9.90%, 609702 ms
1750, 9.89%, 570290 ms
1800, 9.85%, 590182 ms
1850, 9.86%, 690777 ms
1900, 9.89%, 649847 ms
1950, 10.03%, 570998 ms
2000, 11.00%, 13134 ms
2050, 9999999900.00%, 9999999 ms
2100, 9.31%, 665379 ms
2150, 9.28%, 628263 ms
2200, 9.66%, 537595 ms
2250, 9.78%, 570497 ms
2300, 9.64%, 593967 ms
2350, 9.62%, 537160 ms
2400, 9.59%, 611172 ms
2450, 9.48%, 527599 ms
2500, 9.59%, 640095 ms
2550, 9.71%, 549255 ms
2600, 9.72%, 570141 ms
2650, 12.00%, 20793 ms
2700, 9999999900.00%, 9999999 ms
2750, 10.00%, 616590 ms
2800, 9.91%, 585959 ms
2850, 9.87%, 536092 ms
2900, 9.68%, 582566 ms
2950, 9.67%, 545572 ms
3000, 9.69%, 567894 ms
3050, 9.66%, 519859 ms
3100, 9.68%, 588420 ms
3150, 9.66%, 770956 ms
3200, 9.62%, 704085 ms
3250, 9.70%, 709870 ms
3300, 8.00%, 23784 ms
3350, 9999999900.00%, 9999999 ms
3400, 9.20%, 785591 ms
3450, 9.56%, 743092 ms
3500, 9.40%, 759008 ms
3550, 9.52%, 802424 ms
3600, 9.52%, 764668 ms
3650, 9.40%, 727151 ms
3700, 9.48%, 753247 ms
3750, 9.55%, 751523 ms
3800, 9.59%, 724289 ms
3850, 9.60%, 727212 ms
3900, 9.56%, 743852 ms
3950, 8.00%, 17294 ms
4000, 9999999900.00%, 9999999 ms
4050, 8.86%, 821731 ms
4100, 9.42%, 740940 ms
4150, 9.23%, 773082 ms
4200, 9.25%, 759574 ms
4250, 9.33%, 781708 ms
4300, 9.31%, 744300 ms
4350, 9.41%, 865781 ms
4400, 9.46%, 829186 ms
4450, 9.36%, 775838 ms
4500, 9.39%, 759678 ms
4550, 9.47%, 843010 ms
4600, 6.00%, 26251 ms
4650, 9999999900.00%, 9999999 ms
4700, 9.61%, 855565 ms
4750, 9.32%, 833265 ms
4800, 9.19%, 794602 ms
4850, 9.25%, 754467 ms
4900, 9.14%, 834221 ms
4950, 9.15%, 860645 ms
5000, 9.25%, 852204 ms
5050, 9.28%, 857249 ms
5100, 9.27%, 761511 ms
5150, 9.34%, 487301 ms
5200, 9.37%, 255756 ms
5250, 9.00%, 25481 ms
5300, 9999999900.00%, 9999999 ms
5350, 9.65%, 300507 ms
5400, 9.19%, 150519 ms
5450, 9.14%, 647599 ms
5500, 9.14%, 668732 ms
5550, 9.24%, 247414 ms
5600, 9.20%, 162584 ms
5650, 9.29%, 646625 ms
5700, 9.34%, 276618 ms
5750, 9.38%, 274805 ms
5800, 9.41%, 281610 ms
5850, 9.42%, 882191 ms
5900, 9.00%, 23814 ms
5950, 9999999900.00%, 9999999 ms
6000, 8.82%, 120543 ms
6050, 8.92%, 154382 ms
6100, 9.17%, 381284 ms
6150, 9.20%, 111367 ms
6200, 9.35%, 499658 ms
6250, 9.33%, 292462 ms
6300, 9.36%, 619613 ms
6350, 9.34%, 625189 ms
6400, 9.29%, 859983 ms
6450, 9.35%, 773591 ms
6500, 9.29%, 795866 ms
Test, 9.50%, 419210 ms
